"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"maleimide","Maleimide","HMDB0254312","10935","C07272","OC1=NC(=O)C=C1","1"
"glycerol-alpha-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","C00093","OC[C@@H](O)COP(O)(O)=O","1"
"fumaric acid","Fumaric acid","HMDB0000134","444972","C00122","OC(=O)\C=C\C(O)=O","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"isoxanthopterin","Isoxanthopterin","HMDB0000704","10729","C03975","NC1=NC(=O)C2=C(N1)NC(=O)C=N2","1"
"3-Aminopiperidine-2,6-dione","Pyroglutamine","HMDB0062558","11984188",NA,"N[C@H]1CCC(=O)NC1=O","1"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"phenylethylamine","Phenylethylamine","HMDB0012275","1001","C05332","NCCC1=CC=CC=C1","1"
"4-hydroxymandelic acid","p-Hydroxymandelic acid","HMDB0000822","328","C03198","OC(C(O)=O)C1=CC=C(O)C=C1","1"
"ribonic acid","Ribonic acid","HMDB0000867","5460677","C01685","OC[C@@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"cytosine","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"dopamine","Dopamine","HMDB0000073","681","C03758","NCCC1=CC(O)=C(O)C=C1","1"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"5-methoxytryptamine","5-Methoxytryptamine","HMDB0004095","1833","C05659","COC1=CC2=C(NC=C2CCN)C=C1","1"
"tyramine","Tyramine","HMDB0000306","5610","C00483","NCCC1=CC=C(O)C=C1","1"
"N-alpha-acetyllysine","N-alpha-Acetyl-L-lysine","HMDB0000446","92907","C12989","CC(=O)N[C@@H](CCCCN)C(O)=O","1"
"thymine","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"synephrine","p-Synephrine","HMDB0004826","7172","C04548","CNCC(O)C1=CC=C(O)C=C1","1"
