"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"tyramine","Tyramine","HMDB0000306","5610","C00483","NCCC1=CC=C(O)C=C1","1"
"thymine","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"synephrine","p-Synephrine","HMDB0004826","7172","C04548","CNCC(O)C1=CC=C(O)C=C1","1"
"serotonin","Serotonin","HMDB0000259","5202","C00780","NCCC1=CNC2=C1C=C(O)C=C2","1"
"phenylethylamine","Phenylethylamine","HMDB0012275","1001","C05332","NCCC1=CC=CC=C1","1"
"pantothenic acid","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"N-methylethanolamine","NA","NA","NA","NA","NA","0"
"N-alpha-acetyllysine","N-alpha-Acetyl-L-lysine","HMDB0000446","92907","C12989","CC(=O)N[C@@H](CCCCN)C(O)=O","1"
"levoglucosan","Levoglucosan","HMDB0000640","2724705",NA,"[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"glycerol-alpha-phosphate","NA","NA","NA","NA","NA","0"
"glutathione","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"ethanolamine","Ethanolamine","HMDB0000149","700","C00189","NCCO","1"
"dopamine","Dopamine","HMDB0000073","681","C03758","NCCC1=CC(O)=C(O)C=C1","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"arabitol","D-Arabitol","HMDB0000568","94154","C01904","OC[C@@H](O)C(O)[C@H](O)CO","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"5-methoxytryptamine","5-Methoxytryptamine","HMDB0004095","1833","C05659","COC1=CC2=C(NC=C2CCN)C=C1","1"
"4-hydroxymandelic acid","p-Hydroxymandelic acid","HMDB0000822","328","C11527","OC(C(O)=O)C1=CC=C(O)C=C1","1"
"3-Aminopiperidine-2,6-dione","NA","NA","NA","NA","NA","0"
