"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"taurine","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"sulfuric acid","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"phosphate","Phosphate","HMDB0001429","1004","C00009","OP(O)(O)=O","1"
"oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"noradrenaline","Norepinephrine","HMDB0000216","439260","C00547","NC[C@H](O)C1=CC(O)=C(O)C=C1","1"
"N-acetylmethionine","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"methionine sulfone","Methionine sulfone","HMDB0062174","445282",NA,"CS(=O)(=O)CC[C@H](N)C(O)=O","1"
"homocysteine","Homocysteine","HMDB0000742","91552","C00155","N[C@@H](CCS)C(O)=O","1"
"histamine","Histamine","HMDB0000870","774","C00388","NCCC1=CNC=N1","1"
"glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"glutamate","Glutamic acid","HMDB0000148","33032","C00025","N[C@@H](CCC(O)=O)C(O)=O","1"
"beta-glutamic acid","NA","NA","NA","NA","NA","0"
"5-aminovaleric acid","5-Aminopentanoic acid","HMDB0003355","138","C00431","NCCCCC(O)=O","1"
"3-Amino-2-piperidone","3-Amino-2-piperidone","HMDB0000323","5200225",NA,"NC1CCCNC1=O","1"
