"","Metabolite","colors"
"xylitol","xylitol",0
"valine ","valine ",16
"uridine","uridine",0
"uric acid","uric acid",0
"urea","urea",0
"uracil","uracil",0
"UDP-N-acetylglucosamine ","UDP-N-acetylglucosamine ",0
"tyrosine","tyrosine",16
"tyramine","tyramine",10
"tryptophan ","tryptophan ",16
"triethanolamine","triethanolamine",0
"trans-4-hydroxyproline ","trans-4-hydroxyproline ",0
"thymine","thymine",10
"threonine","threonine",10
"terephthalic acid","terephthalic acid",13
"taurine","taurine",1
"tagatose ","tagatose ",7
"synephrine","synephrine",10
"sulfuric acid","sulfuric acid",1
"sucrose","sucrose",0
"stearic acid","stearic acid",13
"spermidine ","spermidine ",13
"sophorose","sophorose",7
"shikimic acid","shikimic acid",7
"serotonin","serotonin",10
"serine","serine",0
"salicylic acid","salicylic acid",13
"ribose-5-phosphate","ribose-5-phosphate",0
"ribonic acid ","ribonic acid ",0
"ribitol","ribitol",0
"raffinose","raffinose",0
"pyrrole-2-carboxylic acid","pyrrole-2-carboxylic acid",0
"pyrophosphate ","pyrophosphate ",0
"putrescine","putrescine",13
"proline","proline",8
"pinitol","pinitol",0
"phthalic acid","phthalic acid",1
"phosphoinositol","phosphoinositol",0
"phosphoethanolamine","phosphoethanolamine",0
"phosphate","phosphate",0
"phenylethylamine","phenylethylamine",10
"phenylalanine","phenylalanine",16
"pentadecanoic acid","pentadecanoic acid",7
"para-xanthine ","para-xanthine ",0
"pantothenic acid","pantothenic acid",1
"oxoproline","oxoproline",1
"ornithine ","ornithine ",5
"ononitol","ononitol",7
"octadecanol","octadecanol",0
"noradrenaline","noradrenaline",1
"N-methylethanolamine","N-methylethanolamine",1
"nicotinic acid","nicotinic acid",8
"n-epsilon-trimethyllysine","n-epsilon-trimethyllysine",0
"N-alpha-acetyllysine ","N-alpha-acetyllysine ",10
"N-acetylputrescine ","N-acetylputrescine ",0
"N-acetylmethionine ","N-acetylmethionine ",0
"N-acetylglucosamine-6-phosphate ","N-acetylglucosamine-6-phosphate ",2
"N-acetylgalactosamine","N-acetylgalactosamine",1
"myo-inositol","myo-inositol",3
"methionine sulfoxide","methionine sulfoxide",0
"methionine sulfone ","methionine sulfone ",0
"methionine","methionine",16
"methanolphosphate","methanolphosphate",4
"melezitose","melezitose",0
"maltotriose","maltotriose",0
"maltotriitol ","maltotriitol ",7
"maltitol","maltitol",7
"malic acid","malic acid",1
"maleimide","maleimide",7
"lyxose","lyxose",4
"lysine","lysine",7
