"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"myo-inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"hydroquinone","Hydroquinone","HMDB0002434","785","C00530","OC1=CC=C(O)C=C1","1"
"isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"N-acetylgalactosamine","N-Acetylgalactosamine","HMDB0000212","84265","C01132","CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"oxoproline","Oxoproline",NA,NA,NA,NA,"1"
"methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"glutaric acid","Glutaric acid","HMDB0000661","743","C00489","OC(=O)CCCC(O)=O","1"
"putrescine","Putrescine","HMDB0001414","1045","C00134","NCCCCN","1"
"tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"terephthalic acid","Terephthalic acid","HMDB0002428","7489","C06337","OC(=O)C1=CC=C(C=C1)C(O)=O","1"
"cadaverine","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"ribose-5-phosphate","NA","NA","NA","NA","NA","0"
"arachidic acid","Arachidic acid","HMDB0002212","10467","C06425","CCCCCCCCCCCCCCCCCCCC(O)=O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"phthalic acid","Phthalic acid","HMDB0002107","1017","C01606","OC(=O)C1=CC=CC=C1C(O)=O","1"
"phosphoinositol","NA","NA","NA","NA","NA","0"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"serotonin","Serotonin","HMDB0000259","5202","C00780","NCCC1=CNC2=C1C=C(O)C=C2","1"
"4-hydroxybenzoate","4-Hydroxybenzoic acid","HMDB0000500","135","C00156","OC(=O)C1=CC=C(O)C=C1","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(O)=O","1"
"2-ketoadipic acid","Oxoadipic acid","HMDB0000225","71","C00322","OC(=O)CCCC(=O)C(O)=O","1"
"stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(O)=O","1"
