"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,0.11299,3,0.00012265,3.9113,0.009444,0.009444,0
"Glutathione metabolism",26,0.36723,3,0.0048818,2.3114,0.37102,0.18795,0.11012
"Tryptophan metabolism",30,0.42373,3,0.0073663,2.1328,0.55247,0.18907,0.33852
"One carbon pool by folate",23,0.32486,2,0.039709,1.4011,1,0.58411,0.13569
"Lipoic acid metabolism",27,0.38136,2,0.053325,1.2731,1,0.58411,0.00189
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.056497,1,0.055388,1.2566,1,0.58411,0.5
"Arginine and proline metabolism",29,0.4096,2,0.060686,1.2169,1,0.58411,0.19111
"Glycine, serine and threonine metabolism",29,0.4096,2,0.060686,1.2169,1,0.58411,0.35224
"Phenylalanine metabolism",7,0.09887,1,0.095035,1.0221,1,0.75216,0.37931
"Valine, leucine and isoleucine degradation",38,0.53672,2,0.097683,1.0102,1,0.75216,0
"Ascorbate and aldarate metabolism",8,0.11299,1,0.1079,0.96697,1,0.75532,0
"Ubiquinone and other terpenoid-quinone biosynthesis",19,0.26836,1,0.23861,0.62231,1,1,0
"Porphyrin metabolism",24,0.33898,1,0.29191,0.53476,1,1,0
"Glyoxylate and dicarboxylate metabolism",24,0.33898,1,0.29191,0.53476,1,1,0.09132
"Lysine degradation",26,0.36723,1,0.31223,0.50552,1,1,0
"Inositol phosphate metabolism",28,0.39548,1,0.33201,0.47884,1,1,0.11704
"Cysteine and methionine metabolism",32,0.45198,1,0.36999,0.4318,1,1,0.10718
"Amino sugar and nucleotide sugar metabolism",39,0.55085,1,0.43165,0.36487,1,1,0
