"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0012080","endoplasmic reticulum (ER)",246,98,79.12,"1.7e-05","0.00141"
"LION:0000095","headgroup with positive charge / zwitter-ion",241,96,77.51,"2.9e-05","0.00141"
"LION:0000465","neutral intrinsic curvature",149,65,47.92,"0.00013","0.00420"
"LION:0000010","glycerophosphocholines [GP01]",155,66,49.85,"0.00031","0.00752"
"LION:0012010","membrane component",273,102,87.8,"0.00061","0.01183"
"LION:0000003","glycerophospholipids [GP]",232,88,74.61,"0.00235","0.03799"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",23,14,7.4,"0.00334","0.04628"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",22,13,7.08,"0.00682","0.08269"
"LION:0000607","diacylglycerols [GL0201]",4,4,1.29,"0.01036","0.11166"
"LION:0000030","diacylglycerophosphocholines [GP0101]",95,40,30.55,"0.01297","0.12581"
"LION:0000464","negative intrinsic curvature",76,33,24.44,"0.01501","0.13236"
"LION:0080982","above average lateral diffusion",25,13,8.04,"0.02697","0.21801"
"LION:0001739","very high transition temperature",5,4,1.61,"0.03876","0.28921"
"LION:0080980","very high lateral diffusion",15,8,4.82,"0.06921","0.47953"
"LION:0000467","contains ether-bond",39,17,12.54,"0.07862","0.50841"
"LION:0080973","below average bilayer thickness",26,12,8.36,"0.08872","0.53786"
"LION:0001741","below average transition temperature",29,13,9.33,"0.09698","0.55336"
"LION:0000032","1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]",24,11,7.72,"0.10673","0.57516"
"LION:0001736","low transition temperature",19,9,6.11,"0.11617","0.59308"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",25,11,8.04,"0.13889","0.67362"
"LION:0080968","very low bilayer thickness",12,6,3.86,"0.15160","0.70025"
"LION:0001734","contains vinyl ether bond (plasmalogen)",32,13,10.29,"0.19043","0.83962"
"LION:0002923","C18:2",13,6,4.18,"0.20959","0.88392"
"LION:0001740","above average transition temperature",19,8,6.11,"0.23816","0.96256"
"LION:0080979","high lateral diffusion",11,5,3.54,"0.25776","1.00000"
"LION:0000011","glycerophosphoethanolamines [GP02]",55,20,17.69,"0.28363","1.00000"
"LION:0012081","mitochondrion",58,21,18.65,"0.28431","1.00000"
"LION:0080969","low bilayer thickness",15,6,4.82,"0.34229","1.00000"
"LION:0012009","lipid-mediated signalling",48,17,15.44,"0.35833","1.00000"
"LION:0000004","sphingolipids [SP]",61,21,19.62,"0.39206","1.00000"
"LION:0001735","very low transition temperature",10,4,3.22,"0.40837","1.00000"
"LION:0012082","plasma membrane",65,21,20.9,"0.54210","1.00000"
"LION:0002970","fatty acid with 2 double bonds",18,6,5.79,"0.54787","1.00000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",31,10,9.97,"0.56665","1.00000"
"LION:0012086","endosome/lysosome",32,10,10.29,"0.61540","1.00000"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",3,1,0.96,"0.68891","1.00000"
"LION:0002958","fatty acids with 19 carbons",3,1,0.96,"0.68891","1.00000"
"LION:0071625","PE(O-38:7)",3,1,0.96,"0.68891","1.00000"
"LION:0001738","high transition temperature",14,4,4.5,"0.71177","1.00000"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",7,2,2.25,"0.71673","1.00000"
"LION:0002900","C16:1",11,3,3.54,"0.74340","1.00000"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",8,2,2.57,"0.78780","1.00000"
"LION:0002926","C20:1",4,1,1.29,"0.78972","1.00000"
"LION:0002929","C20:4",9,2,2.89,"0.84278","1.00000"
"LION:0002930","C20:5",5,1,1.61,"0.85803","1.00000"
"LION:0002955","fatty acid with 16 carbons",32,8,10.29,"0.86587","1.00000"
"LION:0080978","average lateral diffusion",14,3,4.5,"0.88156","1.00000"
"LION:0080971","high bilayer thickness",10,2,3.22,"0.88460","1.00000"
"LION:0002882","C16:0",22,5,7.08,"0.88969","1.00000"
"LION:0080970","average bilayer thickness",15,3,4.82,"0.91019","1.00000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",16,3,5.15,"0.93245","1.00000"
"LION:0080974","above average bilayer thickness",12,2,3.86,"0.93925","1.00000"
"LION:0002957","fatty acid with 18 carbons",50,11,16.08,"0.96781","1.00000"
"LION:0002972","fatty acid with 4 double bonds",14,2,4.5,"0.96882","1.00000"
"LION:0080977","low lateral diffusion",14,2,4.5,"0.96882","1.00000"
"LION:0002922","C18:1",23,4,7.4,"0.96950","1.00000"
"LION:0002969","monounsaturated fatty acid",40,8,12.86,"0.97599","1.00000"
"LION:0002949","fatty acid with 19-21 carbons",29,5,9.33,"0.98154","1.00000"
"LION:0002959","fatty acid with 20 carbons",25,4,8.04,"0.98290","1.00000"
"LION:0002921","C18:0",16,2,5.15,"0.98432","1.00000"
"LION:0080981","below average lateral diffusion",16,2,5.15,"0.98432","1.00000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",11,1,3.54,"0.98690","1.00000"
"LION:0002977","fatty acid with 3-5 double bonds",23,3,7.4,"0.99229","1.00000"
"LION:0002937","C22:6",13,1,4.18,"0.99414","1.00000"
"LION:0000599","lysoglycerophospholipids",19,2,6.11,"0.99459","1.00000"
"LION:0002948","fatty acid with 16-18 carbons",73,15,23.48,"0.99481","1.00000"
"LION:0002967","polyunsaturated fatty acid",51,9,16.4,"0.99597","1.00000"
"LION:0000002","glycerolipids [GL]",59,11,18.97,"0.99608","1.00000"
"LION:0000100","fatty acid with 18 carbons or less",75,15,24.12,"0.99677","1.00000"
"LION:0000094","headgroup with neutral charge",64,11,20.58,"0.99896","1.00000"
"LION:0000466","positive intrinsic curvature",34,4,10.93,"0.99901","1.00000"
"LION:0001737","average transition temperature",18,1,5.79,"0.99923","1.00000"
"LION:0002976","fatty acid with more than 3 double bonds",36,4,11.58,"0.99950","1.00000"
"LION:0002966","fatty acid with less than 2 double bonds",80,14,25.73,"0.99968","1.00000"
"LION:0002968","saturated fatty acid",49,6,15.76,"0.99985","1.00000"
"LION:0002961","fatty acid with 22 carbons",22,1,7.08,"0.99985","1.00000"
"LION:0000622","triacylglycerols [GL0301]",55,7,17.69,"0.99990","1.00000"
"LION:0012011","lipid storage",55,7,17.69,"0.99990","1.00000"
"LION:0012084","lipid droplet",55,7,17.69,"0.99990","1.00000"
"LION:0000093","headgroup with negative charge",30,2,9.65,"0.99991","1.00000"
"LION:0002950","fatty acid with 22-24 carbons",24,1,7.72,"0.99994","1.00000"
"LION:0002945","fatty acid with more than 18 carbons",56,6,18.01,"0.99999","1.00000"
