PC,lipid,statistic,p.adj,comparison,class,targetClass,saturation,LION.0000003,LION.0000010,LION.0000031,LION.0000095,LION.0000465,LION.0012010,LION.0012080,LION.0000011,LION.0012081
1,PE P-36:1 or PE O-36:2,-4.83586899959008,0.000411640911233097,13v30,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE P-36:1 or PE O-36:2,3.90799318844652,0.00527801097969978,3v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE P-36:1 or PE O-36:2,-6.72576375803111,4.94069161945347e-05,30v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PC O-34:0 Isomer B,-5.97998052981535,3.77248864968583e-05,13v30,PC,PC,Saturated,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA
1,PC O-34:0 Isomer B,-6.45337201867134,3.60029374711474e-05,30v5,PC,PC,Saturated,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA
1,PC O-18:0_16:0,-5.64243629787398,7.57864059445755e-05,13v30,PC,PC,Saturated,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA
1,PC O-18:0_16:0,-5.68633457581419,0.000126337056786665,30v5,PC,PC,Saturated,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA
1,PE O-16:1_18:1,-4.98853773036308,0.000330808432661318,13v30,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE O-16:1_18:1,3.51163736072541,0.00993972455409141,3v5,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE O-16:1_18:1,-6.63607619213902,4.94069161945347e-05,30v5,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,SM d34:0,-5.65950160566609,5.32527404467818e-05,13v30,SM,Other,Saturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
1,SM d34:0,-5.07647592458095,0.000204047059475581,30v5,SM,Other,Saturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
1,SM d36:0,-5.65701814436963,6.96941115658125e-05,13v30,SM,Other,Saturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
1,SM d36:0,-4.87230859536536,0.000240645924528144,30v5,SM,Other,Saturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
1,SM d32:0 Isomer B,-5.297075283973,7.87886383662522e-05,13v30,SM,Other,Saturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
1,SM d32:0 Isomer B,-5.50520520837812,0.000116575874461059,30v5,SM,Other,Saturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
1,PE P-34:1 or PE O-34:2,-4.47383136738147,0.000662825613297581,13v30,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE P-34:1 or PE O-34:2,3.07787540031318,0.0185552864100391,3v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE P-34:1 or PE O-34:2,-6.10450194772435,9.039020756456e-05,30v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PC 19:1,-5.16727157423752,0.000240690223231458,13v30,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 19:1,-5.09404636111669,0.000179122878270089,30v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,Cer d34:0,-4.36831818559175,0.000666653150181312,13v30,Cer,Other,Saturated,NA,NA,NA,NA,NA,NA,both,NA,NA
1,Cer d34:0,-5.78976948421299,0.000143729508596767,30v5,Cer,Other,Saturated,NA,NA,NA,NA,NA,NA,both,NA,NA
1,PC 33:2 Isomer A,6.02179399386264,5.82378020859922e-05,13v30,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 33:2 Isomer A,5.52892931028375,0.000116575874461059,30v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PE 40:7|PE 18:1_22:6,6.99320287361319,1.84571601983716e-05,13v30,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE 40:7|PE 18:1_22:6,8.0050511567538,1.44027561149001e-05,30v5,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PC 18:2_20:5,6.99991555306563,1.05834450031888e-05,13v30,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 18:2_20:5,2.87435472698208,0.02430003584869,3v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 18:2_20:5,5.50658600235982,0.000179122878270089,30v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PE 38:7|PE 18:2_20:5 Isomer B,7.70036486086517,3.81124502952821e-06,13v30,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE 38:7|PE 18:2_20:5 Isomer B,3.66761200384101,0.00919058528150888,3v5,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE 38:7|PE 18:2_20:5 Isomer B,5.2325946438492,0.000179122878270089,30v5,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PC 38:7,6.55320153865252,3.14238938104965e-05,13v30,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 38:7,5.07704311093679,0.000179122878270089,30v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,DG 38:6,5.45449163533858,0.000108298771565882,13v30,DG,Other,Polyunsaturated,NA,NA,NA,NA,NA,13v30,NA,NA,NA
