"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002971","fatty acid with 3 double bonds",4,2,0.27,"0.024","1"
"LION:0012009","lipid-mediated signalling",48,7,3.26,"0.032","1"
"LION:0000004","sphingolipids [SP]",61,8,4.14,"0.039","1"
"LION:0012082","plasma membrane",65,8,4.41,"0.055","1"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",7,2,0.47,"0.075","1"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",25,4,1.7,"0.079","1"
"LION:0002921","C18:0",16,3,1.09,"0.086","1"
"LION:0000001","fatty acids [FA]",8,2,0.54,"0.096","1"
"LION:0001742","fatty acids and conjugates [FA01]",8,2,0.54,"0.096","1"
"LION:0002949","fatty acid with 19-21 carbons",29,4,1.97,"0.123","1"
"LION:0000599","lysoglycerophospholipids",19,3,1.29,"0.130","1"
"LION:0000466","positive intrinsic curvature",34,4,2.31,"0.190","1"
"LION:0002927","C20:2",3,1,0.2,"0.190","1"
"LION:0002956","fatty acid with 17 carbons",3,1,0.2,"0.190","1"
"LION:0002958","fatty acids with 19 carbons",3,1,0.2,"0.190","1"
"LION:0002977","fatty acid with 3-5 double bonds",23,3,1.56,"0.198","1"
"LION:0002948","fatty acid with 16-18 carbons",73,7,4.95,"0.208","1"
"LION:0000100","fatty acid with 18 carbons or less",75,7,5.09,"0.229","1"
"LION:0002959","fatty acid with 20 carbons",25,3,1.7,"0.235","1"
"LION:0002957","fatty acid with 18 carbons",50,5,3.39,"0.241","1"
"LION:0002966","fatty acid with less than 2 double bonds",80,7,5.43,"0.286","1"
"LION:0002930","C20:5",5,1,0.34,"0.297","1"
"LION:0012017","hexosylceramides",5,1,0.34,"0.297","1"
"LION:0000093","headgroup with negative charge",30,3,2.04,"0.333","1"
"LION:0001737","average transition temperature",18,2,1.22,"0.349","1"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",31,3,2.1,"0.352","1"
"LION:0012086","endosome/lysosome",32,3,2.17,"0.372","1"
"LION:0002968","saturated fatty acid",49,4,3.32,"0.431","1"
"LION:0000013","glycerophosphoserines [GP03]",8,1,0.54,"0.433","1"
"LION:0002976","fatty acid with more than 3 double bonds",36,3,2.44,"0.450","1"
"LION:0002967","polyunsaturated fatty acid",51,4,3.46,"0.464","1"
"LION:0002969","monounsaturated fatty acid",40,3,2.71,"0.525","1"
"LION:0080979","high lateral diffusion",11,1,0.75,"0.543","1"
"LION:0002945","fatty acid with more than 18 carbons",56,4,3.8,"0.544","1"
"LION:0001738","high transition temperature",14,1,0.95,"0.632","1"
"LION:0080978","average lateral diffusion",14,1,0.95,"0.632","1"
"LION:0080969","low bilayer thickness",15,1,1.02,"0.658","1"
"LION:0080970","average bilayer thickness",15,1,1.02,"0.658","1"
"LION:0000030","diacylglycerophosphocholines [GP0101]",95,6,6.44,"0.659","1"
"LION:0002970","fatty acid with 2 double bonds",18,1,1.22,"0.726","1"
"LION:0001740","above average transition temperature",19,1,1.29,"0.745","1"
"LION:0000011","glycerophosphoethanolamines [GP02]",55,3,3.73,"0.751","1"
"LION:0012081","mitochondrion",58,3,3.93,"0.785","1"
"LION:0000464","negative intrinsic curvature",76,4,5.16,"0.795","1"
"LION:0002882","C16:0",22,1,1.49,"0.796","1"
"LION:0002922","C18:1",23,1,1.56,"0.811","1"
"LION:0000032","1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]",24,1,1.63,"0.824","1"
"LION:0080982","above average lateral diffusion",25,1,1.7,"0.837","1"
"LION:0000094","headgroup with neutral charge",64,3,4.34,"0.842","1"
"LION:0080973","below average bilayer thickness",26,1,1.76,"0.849","1"
"LION:0012080","endoplasmic reticulum (ER)",246,14,16.69,"0.903","1"
"LION:0001734","contains vinyl ether bond (plasmalogen)",32,1,2.17,"0.904","1"
"LION:0002955","fatty acid with 16 carbons",32,1,2.17,"0.904","1"
"LION:0000622","triacylglycerols [GL0301]",55,2,3.73,"0.912","1"
"LION:0012011","lipid storage",55,2,3.73,"0.912","1"
"LION:0012084","lipid droplet",55,2,3.73,"0.912","1"
"LION:0000002","glycerolipids [GL]",59,2,4,"0.932","1"
"LION:0000465","neutral intrinsic curvature",149,7,10.11,"0.935","1"
"LION:0000095","headgroup with positive charge / zwitter-ion",241,13,16.35,"0.940","1"
"LION:0000010","glycerophosphocholines [GP01]",155,7,10.52,"0.953","1"
"LION:0012010","membrane component",273,15,18.52,"0.955","1"
"LION:0000003","glycerophospholipids [GP]",232,11,15.74,"0.982","1"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",23,0,1.56,"1.000","1"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",11,0,0.75,"1.000","1"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",22,0,1.49,"1.000","1"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",16,0,1.09,"1.000","1"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",8,0,0.54,"1.000","1"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",11,0,0.75,"1.000","1"
"LION:0000053","diacylglycerophosphoserines [GP0301]",7,0,0.47,"1.000","1"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",3,0,0.2,"1.000","1"
"LION:0000259","C14:0",3,0,0.2,"1.000","1"
"LION:0000467","contains ether-bond",39,0,2.65,"1.000","1"
"LION:0000607","diacylglycerols [GL0201]",4,0,0.27,"1.000","1"
"LION:0001735","very low transition temperature",10,0,0.68,"1.000","1"
"LION:0001736","low transition temperature",19,0,1.29,"1.000","1"
"LION:0001739","very high transition temperature",5,0,0.34,"1.000","1"
"LION:0001741","below average transition temperature",29,0,1.97,"1.000","1"
"LION:0002900","C16:1",11,0,0.75,"1.000","1"
"LION:0002923","C18:2",13,0,0.88,"1.000","1"
"LION:0002925","C20:0",3,0,0.2,"1.000","1"
"LION:0002926","C20:1",4,0,0.27,"1.000","1"
"LION:0002929","C20:4",9,0,0.61,"1.000","1"
"LION:0002935","C22:4",4,0,0.27,"1.000","1"
"LION:0002937","C22:6",13,0,0.88,"1.000","1"
"LION:0002947","fatty acid with 13-15 carbons",4,0,0.27,"1.000","1"
"LION:0002950","fatty acid with 22-24 carbons",24,0,1.63,"1.000","1"
"LION:0002951","fatty acid with more than 24 carbons",3,0,0.2,"1.000","1"
"LION:0002961","fatty acid with 22 carbons",22,0,1.49,"1.000","1"
"LION:0002972","fatty acid with 4 double bonds",14,0,0.95,"1.000","1"
"LION:0071625","PE(O-38:7)",3,0,0.2,"1.000","1"
"LION:0080968","very low bilayer thickness",12,0,0.81,"1.000","1"
"LION:0080971","high bilayer thickness",10,0,0.68,"1.000","1"
"LION:0080972","very high bilayer thickness",3,0,0.2,"1.000","1"
"LION:0080974","above average bilayer thickness",12,0,0.81,"1.000","1"
"LION:0080977","low lateral diffusion",14,0,0.95,"1.000","1"
"LION:0080980","very high lateral diffusion",15,0,1.02,"1.000","1"
"LION:0080981","below average lateral diffusion",16,0,1.09,"1.000","1"
