"Plot Title: yrv_9"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435414, SEN S/N: 21435414)","Coupler Detached (LGR S/N: 21435414)","Coupler Attached (LGR S/N: 21435414)","Host Connected (LGR S/N: 21435414)","End Of File (LGR S/N: 21435414)"
1,06/29/22 11:50:31 AM,24.351,,,,
2,06/29/22 11:50:36 AM,,Logged,,,
3,06/29/22 12:05:31 PM,13.750,,,,
4,06/29/22 12:20:31 PM,13.846,,,,
5,06/29/22 12:35:31 PM,13.846,,,,
6,06/29/22 12:50:31 PM,13.846,,,,
7,06/29/22 01:05:31 PM,13.942,,,,
8,06/29/22 01:20:31 PM,13.942,,,,
9,06/29/22 01:35:31 PM,13.942,,,,
10,06/29/22 01:50:31 PM,14.038,,,,
11,06/29/22 02:05:31 PM,14.038,,,,
12,06/29/22 02:20:31 PM,14.038,,,,
13,06/29/22 02:35:31 PM,14.134,,,,
14,06/29/22 02:50:31 PM,14.134,,,,
15,06/29/22 03:05:31 PM,14.230,,,,
16,06/29/22 03:20:31 PM,14.325,,,,
17,06/29/22 03:35:31 PM,14.325,,,,
18,06/29/22 03:50:31 PM,14.517,,,,
19,06/29/22 04:05:31 PM,14.517,,,,
20,06/29/22 04:20:31 PM,14.613,,,,
21,06/29/22 04:35:31 PM,14.709,,,,
22,06/29/22 04:50:31 PM,14.709,,,,
23,06/29/22 05:05:31 PM,14.709,,,,
24,06/29/22 05:20:31 PM,14.709,,,,
25,06/29/22 05:35:31 PM,14.709,,,,
26,06/29/22 05:50:31 PM,14.804,,,,
27,06/29/22 06:05:31 PM,14.709,,,,
28,06/29/22 06:20:31 PM,14.709,,,,
29,06/29/22 06:35:31 PM,14.709,,,,
30,06/29/22 06:50:31 PM,14.613,,,,
31,06/29/22 07:05:31 PM,14.613,,,,
32,06/29/22 07:20:31 PM,14.517,,,,
33,06/29/22 07:35:31 PM,14.421,,,,
34,06/29/22 07:50:31 PM,14.421,,,,
35,06/29/22 08:05:31 PM,14.421,,,,
36,06/29/22 08:20:31 PM,14.421,,,,
37,06/29/22 08:35:31 PM,14.421,,,,
38,06/29/22 08:50:31 PM,14.421,,,,
39,06/29/22 09:05:31 PM,14.421,,,,
40,06/29/22 09:20:31 PM,14.421,,,,
41,06/29/22 09:35:31 PM,14.421,,,,
42,06/29/22 09:50:31 PM,14.421,,,,
43,06/29/22 10:05:31 PM,14.421,,,,
44,06/29/22 10:20:31 PM,14.421,,,,
45,06/29/22 10:35:31 PM,14.421,,,,
46,06/29/22 10:50:31 PM,14.325,,,,
47,06/29/22 11:05:31 PM,14.325,,,,
48,06/29/22 11:20:31 PM,14.325,,,,
49,06/29/22 11:35:31 PM,14.325,,,,
50,06/29/22 11:50:31 PM,14.230,,,,
51,06/30/22 12:05:31 AM,14.230,,,,
52,06/30/22 12:20:31 AM,14.230,,,,
53,06/30/22 12:35:31 AM,14.230,,,,
54,06/30/22 12:50:31 AM,14.230,,,,
55,06/30/22 01:05:31 AM,14.230,,,,
56,06/30/22 01:20:31 AM,14.230,,,,
57,06/30/22 01:35:31 AM,14.230,,,,
58,06/30/22 01:50:31 AM,14.230,,,,
59,06/30/22 02:05:31 AM,14.230,,,,
60,06/30/22 02:20:31 AM,14.230,,,,
61,06/30/22 02:35:31 AM,14.230,,,,
62,06/30/22 02:50:31 AM,14.230,,,,
63,06/30/22 03:05:31 AM,14.230,,,,
64,06/30/22 03:20:31 AM,14.230,,,,
65,06/30/22 03:35:31 AM,14.230,,,,
66,06/30/22 03:50:31 AM,14.230,,,,
67,06/30/22 04:05:31 AM,14.230,,,,
68,06/30/22 04:20:31 AM,14.230,,,,
69,06/30/22 04:35:31 AM,14.325,,,,
70,06/30/22 04:50:31 AM,14.325,,,,
71,06/30/22 05:05:31 AM,14.325,,,,
72,06/30/22 05:20:31 AM,14.325,,,,
73,06/30/22 05:35:31 AM,14.325,,,,
74,06/30/22 05:50:31 AM,14.325,,,,
75,06/30/22 06:05:31 AM,14.325,,,,
76,06/30/22 06:20:31 AM,14.325,,,,
77,06/30/22 06:35:31 AM,14.325,,,,
78,06/30/22 06:50:31 AM,14.325,,,,
79,06/30/22 07:05:31 AM,14.325,,,,
80,06/30/22 07:20:31 AM,14.325,,,,
81,06/30/22 07:35:31 AM,14.325,,,,
82,06/30/22 07:50:31 AM,14.230,,,,
83,06/30/22 08:05:31 AM,14.230,,,,
84,06/30/22 08:20:31 AM,14.230,,,,
85,06/30/22 08:35:31 AM,14.230,,,,
86,06/30/22 08:50:31 AM,14.134,,,,
87,06/30/22 09:05:31 AM,14.134,,,,
88,06/30/22 09:20:31 AM,14.038,,,,
89,06/30/22 09:35:31 AM,14.038,,,,
90,06/30/22 09:50:31 AM,14.038,,,,
91,06/30/22 10:05:31 AM,14.038,,,,
92,06/30/22 10:20:31 AM,14.038,,,,
93,06/30/22 10:35:31 AM,14.134,,,,
94,06/30/22 10:50:31 AM,14.134,,,,
95,06/30/22 11:05:31 AM,14.134,,,,
96,06/30/22 11:20:31 AM,14.038,,,,
97,06/30/22 11:35:31 AM,14.038,,,,
98,06/30/22 11:50:31 AM,14.038,,,,
99,06/30/22 12:05:31 PM,14.038,,,,
100,06/30/22 12:20:31 PM,14.038,,,,
101,06/30/22 12:35:31 PM,14.038,,,,
102,06/30/22 12:50:31 PM,14.038,,,,
103,06/30/22 01:05:31 PM,14.134,,,,
