metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	PubChem	KEGG
2-hydroxyglutaric acid	1.09335545264537	11.7080360112252	10.6146805585798	3.67857210964939	0.000802597346663862	34.1006530331083	0.489391740692803	1.69731916459793	Welch Two Sample t-test	two.sided	0.00374545428443136	43	C02630
2-ketoadipic acid 	0.402268277248362	8.79940278576434	8.39713450851598	2.51953327473573	0.0164317814705477	35.2606678440448	0.0782272053350564	0.726309349161668	Welch Two Sample t-test	two.sided	0.0265436469908847	71	C00322
2-ketoisocaproic acid	0.767603060914636	9.35352353917153	8.58592047825689	3.01324155811332	0.00471546829899483	35.9313141451076	0.250925433142547	1.28428068868673	Welch Two Sample t-test	two.sided	0.011649980503399	70	C00233
4-hydroxymandelic acid	0.575917585812564	8.56256426103635	7.98664667522379	2.54635441864198	0.0149590736784147	38.8928955912688	0.118398460297723	1.0334367113274	Welch Two Sample t-test	two.sided	0.0258506006665393	328	C11527
N-acetylgalactosamine	0.529804597978241	6.13596329984048	5.60615870186224	2.81986483530387	0.00751851167067579	38.932185479465	0.149754242077736	0.909854953878745	Welch Two Sample t-test	two.sided	0.0166198679035991	440552	C05021
N-acetylglucosamine-6-phosphate 	0.416617338801133	5.74610184126435	5.32948450246322	3.00613066749069	0.00461423170635071	38.9394266317518	0.136280215921538	0.696954461680729	Welch Two Sample t-test	two.sided	0.011649980503399	129630434	C00357
N-methylethanolamine	-0.765422255949808	12.2382091982603	13.0036314542101	-5.06933841306414	1.38604490267001e-05	34.1049175604296	-1.07223723015759	-0.458607281742029	Welch Two Sample t-test	two.sided	0.000194046286373801	8016	
UDP-N-acetylglucosamine 	0.525000852045721	8.52940485661439	8.00440400456866	4.82809517673556	2.15511630892986e-05	38.9649223422115	0.305049715313119	0.744951988778324	Welch Two Sample t-test	two.sided	0.000226287212437635	445675	C00043
adenine	0.24948311528952	9.1535319279465	8.90404881265698	2.55463636001823	0.0153872623015115	33.2686365938925	0.0508554095615354	0.448110821017504	Welch Two Sample t-test	two.sided	0.0258506006665393	190	C00147
alanine	-0.620325167597889	15.0124692025612	15.6327943701591	-3.60235494068877	0.00101295571074064	33.3748498615473	-0.970519080613971	-0.270131254581807	Welch Two Sample t-test	two.sided	0.00393939824953152	5950	C00041
alpha-ketoglutarate	0.761277337586804	10.4894661297167	9.7281887921299	2.47552237789119	0.0180859008018168	36.4194417364247	0.137843336630471	1.38471133854314	Welch Two Sample t-test	two.sided	0.0276341449664906	51	C00026
arabitol	0.368207560489279	8.29586733298266	7.92765977249338	2.39091434173254	0.0226225235213568	33.2446002838686	0.0549740117868938	0.681441109191664	Welch Two Sample t-test	two.sided	0.0316715329298995	94154	C01904
beta-alanine	0.907091231455354	8.28486186176126	7.37777063030591	3.76303614069512	0.000566922626542248	37.9723181251465	0.41909321896505	1.39508924394566	Welch Two Sample t-test	two.sided	0.0029763437893468	239	C00099
dimethylglycine	1.12191894461324	10.5573893205949	9.43547037598168	2.69852605784281	0.012820252454938	23.0052968988701	0.261880336581928	1.98195755264456	Welch Two Sample t-test	two.sided	0.0240040681123597	673	
glycerol-3-galactoside 	0.839170537153668	9.16705186913945	8.32788133198578	3.58952557732543	0.00124417847713584	28.0836985517778	0.360351787586104	1.31798928672123	Welch Two Sample t-test	two.sided	0.00435462466997543	16048618	C05401
hydroxycarbamate 	0.739496862544711	7.7923739852236	7.05287712267889	2.70378848947672	0.0102839790708168	37.1147419425915	0.185383021943374	1.29361070314605	Welch Two Sample t-test	two.sided	0.0205679581416335	16639161	
methanolphosphate	0.633500815253493	12.1449866550125	11.511485839759	3.57676890562816	0.00103174716059159	35.351234528737	0.274065122088415	0.992936508418571	Welch Two Sample t-test	two.sided	0.00393939824953152	13130	
methionine sulfoxide	0.435958900901243	10.914052997201	10.4780940962998	3.16827999656447	0.00300129975276309	38.4821712496397	0.157514554408475	0.71440324739401	Welch Two Sample t-test	two.sided	0.00840363930773664	158980	C02989
nicotinic acid	0.391253511377725	11.4900280150397	11.098774503662	2.30580779912215	0.0267648998808294	37.3964603625746	0.0475686110347702	0.73493841172068	Welch Two Sample t-test	two.sided	0.0362621224191883	938	C00253
ononitol	0.885307799253456	7.66726521017625	6.78195741092279	3.3308525449399	0.00190244203480057	38.9816663373838	0.347688390869582	1.42292720763733	Welch Two Sample t-test	two.sided	0.00575093226315157	230881	
phosphate	0.328774565753282	13.4401067248138	13.1113321590605	2.59971924599903	0.0131450849186732	38.6405738975787	0.0728980274377962	0.584651104068767	Welch Two Sample t-test	two.sided	0.0240040681123597	1004	C00009
phosphoethanolamine	0.995878854752732	8.15464438503641	7.15876553028367	5.79011582507434	1.03829829471253e-06	38.7157026459585	0.647901677923545	1.34385603158192	Welch Two Sample t-test	two.sided	2.18042641889632e-05	1015	C00346
pinitol	1.70000287351668	10.1762358141193	8.47623294060261	8.08587849359808	4.03800668041026e-09	30.8943183389558	1.27114910127855	2.12885664575482	Welch Two Sample t-test	two.sided	1.69596280577231e-07	164619	
proline	0.688090380762642	14.8380750595115	14.1499846787489	4.00685236275615	0.000277582152855288	37.8997733679357	0.34041419829486	1.03576656323042	Welch Two Sample t-test	two.sided	0.00166549291713173	145742	C00148
pyrrole-2-carboxylic acid	0.806567975523088	8.24789557505612	7.44132759953303	2.78457458121897	0.00822721842506063	38.9986511253809	0.220683318083874	1.3924526329623	Welch Two Sample t-test	two.sided	0.0172771586926273	12473	C05942
serine	0.785636334445499	13.0635874422802	12.2779511078347	4.42953493416215	0.000108077714250281	31.2006893281224	0.42399605686076	1.14727661203024	Welch Two Sample t-test	two.sided	0.000771709810419877	5951	C00065
threonine	0.449377451738901	11.2618854500124	10.8125079982735	3.32802721431409	0.00191697742105052	38.9972065089207	0.176256556220925	0.722498347256876	Welch Two Sample t-test	two.sided	0.00575093226315157	6288	C00188
uracil	0.454267230818868	8.88308242680528	8.42881519598641	2.44500246081902	0.0193780396295247	36.9180429668077	0.0777842491589632	0.830750212478772	Welch Two Sample t-test	two.sided	0.0280647470496565	1174	C00106
urea	0.545618588674111	10.8272005061407	10.2815819174666	2.82810557373665	0.00737455904232416	38.745180326998	0.155304348198722	0.935932829149501	Welch Two Sample t-test	two.sided	0.0166198679035991	1176	C00086
uridine	0.424382298400208	8.40977286303031	7.9853905646301	2.46866623037814	0.0184227633109937	36.1444524221963	0.0757860556375583	0.772978541162858	Welch Two Sample t-test	two.sided	0.0276341449664906	6029	C00299
xylitol	0.717096047809454	6.83489406404398	6.11779801623452	4.36524924142914	0.000110244258631411	34.4012767338583	0.383394913724629	1.05079718189428	Welch Two Sample t-test	two.sided	0.000771709810419877	6912	C00379
