"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000030","diacylglycerophosphocholines [GP0101]",95,17,5.25,"7.3e-08","7.08e-06"
"LION:0000010","glycerophosphocholines [GP01]",155,19,8.57,"3.6e-06","1.75e-04"
"LION:0000465","neutral intrinsic curvature",149,18,8.24,"1.6e-05","5.17e-04"
"LION:0000003","glycerophospholipids [GP]",232,20,12.82,"0.00072","1.75e-02"
"LION:0000095","headgroup with positive charge / zwitter-ion",241,20,13.32,"0.00144","2.79e-02"
"LION:0012080","endoplasmic reticulum (ER)",246,20,13.6,"0.00209","3.38e-02"
"LION:0012010","membrane component",273,20,15.09,"0.01289","1.79e-01"
"LION:0080979","high lateral diffusion",11,3,0.61,"0.01817","2.20e-01"
"LION:0080978","average lateral diffusion",14,3,0.77,"0.03593","3.82e-01"
"LION:0080969","low bilayer thickness",15,3,0.83,"0.04330","3.82e-01"
"LION:0080970","average bilayer thickness",15,3,0.83,"0.04330","3.82e-01"
"LION:0001736","low transition temperature",19,3,1.05,"0.07973","6.19e-01"
"LION:0002929","C20:4",9,2,0.5,"0.08298","6.19e-01"
"LION:0080982","above average lateral diffusion",25,3,1.38,"0.15234","1.00e+00"
"LION:0080973","below average bilayer thickness",26,3,1.44,"0.16613","1.00e+00"
"LION:0002972","fatty acid with 4 double bonds",14,2,0.77,"0.17750","1.00e+00"
"LION:0001741","below average transition temperature",29,3,1.6,"0.20965","1.00e+00"
"LION:0001737","average transition temperature",18,2,0.99,"0.26165","1.00e+00"
"LION:0002977","fatty acid with 3-5 double bonds",23,2,1.27,"0.36803","1.00e+00"
"LION:0002959","fatty acid with 20 carbons",25,2,1.38,"0.40942","1.00e+00"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",11,1,0.61,"0.46939","1.00e+00"
"LION:0002949","fatty acid with 19-21 carbons",29,2,1.6,"0.48848","1.00e+00"
"LION:0001738","high transition temperature",14,1,0.77,"0.55504","1.00e+00"
"LION:0002976","fatty acid with more than 3 double bonds",36,2,1.99,"0.61133","1.00e+00"
"LION:0000599","lysoglycerophospholipids",19,1,1.05,"0.66924","1.00e+00"
"LION:0001740","above average transition temperature",19,1,1.05,"0.66924","1.00e+00"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",22,1,1.22,"0.72370","1.00e+00"
"LION:0002882","C16:0",22,1,1.22,"0.72370","1.00e+00"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",23,1,1.27,"0.73986","1.00e+00"
"LION:0002967","polyunsaturated fatty acid",51,2,2.82,"0.80101","1.00e+00"
