"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine biosynthesis",13,0.13465,3,0.00022394,3.6499,0.017244,0.017244,0.07317
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.041431,2,0.00057913,3.2372,0.044014,0.022296,1
"Phenylalanine metabolism",7,0.072505,2,0.0019927,2.7006,0.14945,0.051146,0.37931
"Butanoate metabolism",14,0.14501,2,0.0082988,2.081,0.61411,0.15975,0
"Alanine, aspartate and glutamate metabolism",23,0.23823,2,0.021924,1.6591,1,0.33762,0.3446
"Nitrogen metabolism",5,0.051789,1,0.050821,1.294,1,0.6522,0
"Valine, leucine and isoleucine biosynthesis",8,0.082863,1,0.080175,1.096,1,0.88193,0
"Ubiquinone and other terpenoid-quinone biosynthesis",19,0.1968,1,0.18088,0.7426,1,1,0
"Citrate cycle (TCA cycle)",20,0.20716,1,0.18952,0.72234,1,1,0.05856
"One carbon pool by folate",23,0.23823,1,0.21494,0.66767,1,1,0.00864
"Glyoxylate and dicarboxylate metabolism",24,0.24859,1,0.22326,0.6512,1,1,0
"Porphyrin metabolism",24,0.24859,1,0.22326,0.6512,1,1,0
"Lysine degradation",26,0.2693,1,0.23964,0.62044,1,1,0
"Glutathione metabolism",26,0.2693,1,0.23964,0.62044,1,1,0.0369
"Lipoic acid metabolism",27,0.27966,1,0.24771,0.60605,1,1,0
"Arginine and proline metabolism",29,0.30038,1,0.26363,0.57901,1,1,0
"Cysteine and methionine metabolism",32,0.33145,1,0.28692,0.54223,1,1,0.10718
"Tyrosine metabolism",33,0.34181,1,0.29454,0.53086,1,1,0.14534
"Valine, leucine and isoleucine degradation",38,0.3936,1,0.33152,0.47949,1,1,0
"Amino sugar and nucleotide sugar metabolism",39,0.40395,1,0.3387,0.47019,1,1,0.00091
"Pyrimidine metabolism",40,0.41431,1,0.34581,0.46116,1,1,0.07119
"Purine metabolism",68,0.70433,1,0.51879,0.28501,1,1,0.0513
