identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
1.88_674.56	HexCer 32:0;O2	22178811	HexCer 18:0;2O/14:0	SCBSLJVBXYHZPZ-UHFFFAOYSA-N
1.99_706.55	PC 16:0_14:0 	10190333	(3-Hexadecanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	UIXXHROAQSBBOV-UHFFFAOYSA-N
2.37_792.57	PC 32:0 	452110	Colfosceril Palmitate	KILNVBDSWZSGLL-KXQOOQHDSA-N
2.46_762.60	PC 34:0	24778686	1-Hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine	PZNPLUBHRSSFHT-RRHRGVEJSA-N
2.21_706.57	PC O-31:0	164334893	(3-Octoxy-2-tricosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	MARQLCZUTCPJHC-UHFFFAOYSA-N
2.05_706.58	PC O-31:0|PC O-15:0_16:0	165289337	(2-Hexadecanoyloxy-3-pentadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	RPJBSPVVDIKMBV-UHFFFAOYSA-N
2.30_720.59	PC O-32:0 	173570	1-Palmitoyl-2-hexadecyl-sn-glycero-3-phosphocholine	SVWBXNAUENUONE-LDLOPFEMSA-N
2.44_734.60	PC O-33:0 	164333045	(3-Octoxy-2-pentacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	LXEGSWFXNDUGIV-UHFFFAOYSA-N
2.77_796.59	PE 18:0_22:3 	134768112	Phosphatidylethanolamine 18:0-22:3	SUKSMPBISVBNOS-SDJUKWJGSA-N
1.54_647.51	SM d30:1 	44260123	N-(dodecanoyl)-sphing-4-enine-1-phosphocholine	HZCLJRFPXMKWHR-FEBLJDHQSA-N
1.65_661.52	SM d31:1 	134729785	N-(heptadecanoyl)-4E-tetradecasphingenine-1-phosphocholine	FJYURYAFGRADQP-WSYRTZMQSA-N
1.82_677.56	SM d32:0 	44260138	C14DH Sphingomyelin	MJAFYELZQYPMQG-MPQUPPDSSA-N
1.92_735.57	SM d32:0 Isomer B 	133040069	[3-Hydroxy-2-(tridecanoylamino)nonadecyl] 2-(trimethylazaniumyl)ethyl phosphate	OMRILSIMTXCAPB-UHFFFAOYSA-N
1.75_675.54_1.75_697.52	SM d32:1 Isomer A	11433862	C14 Sphingomyelin	KYICBZWZQPCUMO-PSALXKTOSA-N
1.84_733.55	SM d32:1 Isomer B	11433862	C14 Sphingomyelin	KYICBZWZQPCUMO-PSALXKTOSA-N
1.67_731.53	SM d32:2 	52931131	N-(tetradecanoyl)-4E,14Z-sphingadienine-1-phosphocholine	PEJGMBUENJSLLH-RHAKMSQVSA-N
1.89_689.56	SM d33:1 	52931139	N-(pentadecanoyl)-sphing-4-enine-1-phosphocholine	LQINJRUGTUOHGS-YPDYIYJKSA-N
2.18_763.60	SM d34:0 	9939965	N-Palmitoyldihydrosphingomyelin	QHZIGNLCLJPLCU-QPPIDDCLSA-N
1.97_703.58	SM d34:1 Isomer A	9939941	Palmitoyl sphingomyelin	RWKUXQNLWDTSLO-GWQJGLRPSA-N
2.09_761.58	SM d34:1 Isomer B	9939941	Palmitoyl sphingomyelin	RWKUXQNLWDTSLO-GWQJGLRPSA-N
1.89_715.57	SM d35:2 	138173078	[(E)-2-[[(Z)-henicos-9-enoyl]amino]-3-hydroxytetradec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate	HVVDGWWLGYBUAB-JYDNXXCZSA-N
1.97_725.56	SM d36:4 	138162742	[(4E,8E,12E)-3-hydroxy-2-[[(Z)-tetradec-9-enoyl]amino]docosa-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate	GPOGSMIDYBSWAT-UDBQMCEJSA-N
