INCHIKEY,Chemical.Name,PubChem.CID,Lipid,identifier,lipid
ZWAUSWHRQBSECP-UHFFFAOYSA-N,N-(1,3-dihydroxyoctadecan-2-yl)eicosanamide,5239143,25,2.95_594.58,Cer 18:0;2O_20:0 
RWONAHGWHDKVBG-UHFFFAOYSA-N,N-(1,3-dihydroxydocosan-2-yl)hexacosanamide,132994873,27,3.15_734.74,Cer 22:0;2O/26:0 
GCGTXOVNNFGTPQ-JHOUSYSJSA-N,N-(hexadecanoyl)-sphinganine,5283572,41,2.45_574.50_2.45_598.54_2.45_538.52,Cer d34:0 
KZTJQXAANJHSCE-UHFFFAOYSA-N,N-(1,3-dihydroxyoctadecan-2-yl)octadecanamide,4255985,61,2.69_566.55,Cer-NDS d36:0 
BCZDKPKCPSQECA-UHFFFAOYSA-N,Fahfa 25:0/21:0,138125105,100,2.75_705.68,FAHFA 46:0 
WBOZIXHPUPAOIA-RBELZSLISA-N,N-(15Z-tetracosenoyl)-1-beta-glucosyl-sphing-4-enine,6321360,107,2.88_844.64,GlcCer d42:2 
ATHVAWFAEPLPPQ-UHFFFAOYSA-N,(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,3033933,157,2.63_822.58,PC 18:0_18:1 
ZHAHTCLACAJNQI-SEYXRHQNSA-N,[3-acetyloxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,138312775,161,0.72_550.35,PC 19:1 
KILNVBDSWZSGLL-KXQOOQHDSA-N,Colfosceril Palmitate,452110,175,2.37_792.57,PC 32:0 
ATHVAWFAEPLPPQ-VRDBWYNSSA-N,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine,24778825,211,2.47_788.62,PC 36:1 Isomer A
ATHVAWFAEPLPPQ-VRDBWYNSSA-N,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine,24778825,212,2.62_846.62,PC 36:1 Isomer B
GTFLTTXDLGEBAI-UHFFFAOYSA-N,3-(Octadecyloxy)-2-(palmitoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,24779324,304,2.75_806.63,PC O-18:0_16:0 
BNIFFRNYMGLGIV-UHFFFAOYSA-N,(2-Hexacosanoyloxy-3-octoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,164209620,318,2.39_748.61,PC O-34:0 Isomer A
ZKTXOJMFIAILJG-VQJSHJPSSA-N,[(2R)-2-hexadecoxy-3-octadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,24779361,319,2.61_748.62,PC O-34:0 Isomer B
SIEDNCDNGMIKST-UHFFFAOYSA-N,(3-Hexadecoxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,72730732,320,2.39_746.61,PC O-34:1|PC O-16:0_18:1
CTZJPIRYGNJXMR-MRCUWXFGSA-N,[2-[(Z)-docos-13-enoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,138138968,330,2.63_774.64,PC O-36:1 
QCGUXAIDEOWPBV-SNKLRXETSA-N,1-(11Z-octadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,53481719,366,2.53_804.61,PC P-34:0 or PC O-34:1 
MBRHHFWRXQYYAN-RTVLTNFHSA-N,1-(1-Enyl-vaccenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine,53480735,367,2.31_802.60,PC P-34:1 or PC O-34:2
MBRHHFWRXQYYAN-RTVLTNFHSA-N,1-(1-Enyl-vaccenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine,53480735,368,2.50_802.60,PC P-34:1 or PC O-34:2
