lipid	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	PubChem.CID	Chemical.Name	INCHIKEY
Cer 18:0;2O_20:0 	-0.422073175425001	5.80434111910454	6.22641429452954	-2.63123446458647	0.015080211443208	22.5135506341481	-0.754301255717793	-0.0898450951322088	Welch Two Sample t-test	two.sided	0.0181205766535322	5239143	N-(1,3-dihydroxyoctadecan-2-yl)eicosanamide	ZWAUSWHRQBSECP-UHFFFAOYSA-N
Cer d40:2 	0.780734385445437	8.47900578608156	7.69827140063612	4.56879972562317	6.83323800562433e-05	32.2270851873177	0.432751407576252	1.12871736331462	Welch Two Sample t-test	two.sided	0.000308531049344856	52931123	N-(docosanoyl)-4E,14Z-sphingadienine	HILTUFAERVOALR-MQXYEJFFSA-N
Cer d41:2 	0.37259846847398	6.96839025586869	6.59579178739471	3.35472617598069	0.00174913757998558	39.989391286316	0.148122377516467	0.597074559431494	Welch Two Sample t-test	two.sided	0.00292833145413315	138199486	(Z)-N-[(E)-1,3-dihydroxyheptadec-4-en-2-yl]tetracos-11-enamide	KZTBXGOBTULOIO-SZHIUZGGSA-N
Cer d42:2 	0.787685743323338	7.88441569229184	7.0967299489685	5.48616899528625	3.66021142963203e-06	35.0485975343971	0.496224102755189	1.07914738389149	Welch Two Sample t-test	two.sided	7.79102147164532e-05	5283568	(Z)-N-[(E,2S,3R)-1,3-dihydroxyoctadec-4-en-2-yl]-15-tetracosenamide	VJSBNBBOSZJDKB-KPEYJIHVSA-N
FA 17:1	0.407050614683529	9.00790878241069	8.60085816772716	3.81015931026155	0.000510682588105714	36.7934742297844	0.190545446241938	0.62355578312512	Welch Two Sample t-test	two.sided	0.00126819509379586	3014063	9-heptadecenoic acid	QSBYPNXLFMSGKH-UHFFFAOYSA-N
FA 18:3 (linolenic acid) 	0.585917407821513	7.48484157510374	6.89892416728223	4.51338430795536	6.27643489390986e-05	36.9820986635264	0.322877357935297	0.848957457707729	Welch Two Sample t-test	two.sided	0.000292246499747678	5280934	LINOLENIC ACID	DTOSIQBPPRVQHS-PDBXOOCHSA-N
FA 19:1 	0.427800905355451	8.68165011673235	8.2538492113769	3.2263802680639	0.00250343846833658	39.953779059984	0.159807374243505	0.695794436467396	Welch Two Sample t-test	two.sided	0.00392644559770684	14275215	9-Nonadecenoic acid	YOKHLRHWEXTWJR-ZHACJKMWSA-N
FA 20:2 (eicosadienoic acid) 	0.748519963824428	8.68452744520052	7.93600748137609	4.16194631384691	0.000196939734740117	34.7444940565755	0.383312014492478	1.11372791315638	Welch Two Sample t-test	two.sided	0.000652089343917277	6439848	Eicosadienoic acid	XSXIVVZCUAHUJO-HZJYTTRNSA-N
FA 20:3 (eicosatrienoic acid) 	0.491200523554812	7.62915557115254	7.13795504759773	3.43923345930425	0.00159468693954164	33.1080483475697	0.200661626447111	0.781739420662513	Welch Two Sample t-test	two.sided	0.00273113050565177	5312529	11,14,17-Eicosatrienoic acid	AHANXAKGNAKFSK-PDBXOOCHSA-N
FA 20:5 (eicosapentaenoic acid) 	1.04319383419127	9.60614065699422	8.56294682280295	3.9148325452777	0.000458973582286735	31.1954922351713	0.499858312628826	1.58652935575371	Welch Two Sample t-test	two.sided	0.00118062789225388	446284	Icosapent (INN)	JAZBEHYOTPTENJ-JLNKQSITSA-N
GlcCer d42:2 	-0.520552732452094	6.18202623739118	6.70257896984327	-2.97001515687054	0.00663455891320081	24.1577594837665	-0.882165996914841	-0.158939467989347	Welch Two Sample t-test	two.sided	0.00898681161879019	6321360	N-(15Z-tetracosenoyl)-1-beta-glucosyl-sphing-4-enine	WBOZIXHPUPAOIA-RBELZSLISA-N
LPE 16:0 	0.531154249734254	7.19794944190018	6.66679519216593	3.86214475530673	0.000417580435172486	38.5583730105807	0.252875077451939	0.809433422016568	Welch Two Sample t-test	two.sided	0.00113126336074001	53480922	LysoPE(0:0/16:0)	CKPBBEOJHAPPBT-HXUWFJFHSA-N
LPE 18:0 	0.7550029119474	7.94337975977051	7.18837684782311	3.43511988858098	0.00144505204521215	38.064200439641	0.310087192624547	1.19991863127025	Welch Two Sample t-test	two.sided	0.00253309123219541	477551911	LPE 18:0	BBYWOYAFBUOUFP-UHFFFAOYNA-N
LPE O-18:1 	-0.339823991191143	7.5120457644437	7.85186975563484	-2.08952072200494	0.0444937630673655	32.8119764989519	-0.670774356388726	-0.00887362599356064	Welch Two Sample t-test	two.sided	0.0491079310891664	477577455	LPE O-18:1	CDONWGCJDDHTLP-KTKRTIGZNA-N
LPS 18:0 	0.345236966354173	6.72222400375555	6.37698703740138	2.85554240353842	0.00696242754498551	37.5245292726992	0.100384488694216	0.590089444014131	Welch Two Sample t-test	two.sided	0.00928315673120529	478094547	LPS 18:0	ZPDQFUYPBVXUKS-UHFFFAOYNA-N
PC 31:1 	1.04894343449584	14.0117955942132	12.9628521597173	3.72501349867729	0.000706008781357181	34.0337872297141	0.476695417639183	1.6211914513525	Welch Two Sample t-test	two.sided	0.00157007923018239	24778657	1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine	QFVHCMLUKNHDSH-WTWBAFHPSA-N
PC 32:2 Isomer A	0.907985004448504	13.2597356768948	12.3517506724463	3.70508264741354	0.000976576108337685	26.6170520365787	0.40481503247888	1.41115497641813	Welch Two Sample t-test	two.sided	0.0019146031597673	24778764	1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine	GPWHCUUIQMGELX-VHQDNGOZSA-N
PC 33:1 Isomer B	0.553495427179556	9.72374016449757	9.17024473731802	3.01443501608782	0.0046198653072612	37.1629439378134	0.181511191483161	0.92547966287595	Welch Two Sample t-test	two.sided	0.00649396161115018	24778662	1-pentadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine	GXTATYLPYLLNLV-MGIDVFSBSA-N
PC 35:2 	0.359612051845058	8.94558848291487	8.58597643106981	2.75055911954603	0.00982802689434354	31.1016687038313	0.0929984574863183	0.626225646203798	Welch Two Sample t-test	two.sided	0.0123056807332537	52922491	1-heptadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	ZSKWZJYUVZYDQU-WESJWMGVSA-N
PC 35:4 Isomer A	0.848296078902235	14.0057410157982	13.157444936896	2.56662879477187	0.0143352655818849	37.9775386516049	0.179200886938166	1.51739127086631	Welch Two Sample t-test	two.sided	0.0173654843227712	52922204	1-tridecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine	OROZWUJCDDCYAU-IPUAOQJZSA-N
PC 36:5 Isomer C 	0.771449143771134	13.2950782374201	12.523629093649	2.87122782579902	0.00834931425699871	24.2897751409846	0.217265255988619	1.32563303155365	Welch Two Sample t-test	two.sided	0.0108178071677635	52923341	PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)	SUZYROYNFNQALJ-MHEIZRSESA-N
PC P-34:1 or PC O-34:2 	-0.472891957766727	13.7212281001219	14.1941200578887	-2.50732095407287	0.0191268127400365	24.669043376571	-0.861594559785387	-0.0841893557480667	Welch Two Sample t-test	two.sided	0.0226182150655987	70698781	1-(1Z,11Z-octadecadienyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine	MBRHHFWRXQYYAN-JEPFLRBFSA-N
SM d39:2 	-0.348518295962307	6.47076225097307	6.81928054693537	-3.08352909018573	0.00394490070878757	35.4976218297423	-0.577857909365275	-0.119178682559338	Welch Two Sample t-test	two.sided	0.00570670102533347	52931187	N-(heneicosanoyl)-4E,14Z-sphingadienine-1-phosphocholine	SDUGEKJCGFHJRC-IYXZHQORSA-N
SM d41:2 Isomer A 	-0.671707549970009	5.63933536733771	6.31104291730771	-4.15955932891722	0.0004595732734948	20.5911882306811	-1.00794098904843	-0.335474110891584	Welch Two Sample t-test	two.sided	0.00118062789225388	52931209	N-(tricosanoyl)-4E,14Z-sphingadienine-1-phosphocholine	JBDGKEXQKCCQFK-JWQIMADESA-N
SM d42:2 Isomer B 	-0.469431449789417	5.07090866452845	5.54034011431787	-2.77896000558684	0.0110301022598532	21.7093579678848	-0.820029326525199	-0.118833573053635	Welch Two Sample t-test	two.sided	0.0136957103059844	52931217	N-(tetracosanoyl)-4E,14Z-sphingadienine-1-phosphocholine	DACOGJMBYLZYDH-GXJPFUDISA-N
TG 46:1 	0.487735988268179	12.1131574922172	11.625421503949	4.01351099022137	0.000262651017799323	39.0448945108636	0.241940501320879	0.733531475215479	Welch Two Sample t-test	two.sided	0.000798673503104063	11764207	1,2-Dimyristoyl-3-oleoyl glycerol	RSDIQTNCDWUNDP-VHXPQNKSSA-N
TG 50:2	1.08410354809401	11.434990681387	10.350887133293	4.64391536780192	4.84825485858031e-05	34.364524481945	0.609869456723978	1.55833763946405	Welch Two Sample t-test	two.sided	0.000249099991009816	85034325	(3-Hexadecanoyloxy-2-hexadec-9-enoyloxypropyl) octadec-9-enoate	TWJCMQZMAPGUSG-UHFFFAOYSA-N
Taurine	0.704961173232666	11.7877542801777	11.0827931069451	2.79879130111717	0.00842501226690924	33.6806643111805	0.192899422925402	1.21702292353993	Welch Two Sample t-test	two.sided	0.0108217829980127	1123	2-aminoethanesulfonic acid	XOAAWQZATWQOTB-UHFFFAOYSA-N
