identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
2.24_632.52	DG 36:5 	9543737	DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)	PGXBELQFNRPKBC-WBVIKXMWSA-N
2.48_681.49_2.47_665.51_2.48_660.56	DG 38:5 	9543784	DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)	GRGDLDNREYVILP-CNWVQWJYSA-N
2.26_679.47_2.25_658.54	DG 38:6 	9543795	DG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0)	YDVDXUYJFQLPEG-CTHJWPIASA-N
0.19_132.10	NAE 4:0	252506	N-(2-Hydroxyethyl)butyramide	ZWHVMTQUUANYQJ-UHFFFAOYSA-N
1.80_704.52	PC 14:0_16:1 	24778615	1-tetradecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine	XGGMHQYOVYWRLV-IZNHTBNISA-N
2.02_732.56_1.97_754.54	PC 32:1 Isomer A	6443788	1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine	QIBZFHLFHCIUOT-NPBIGWJUSA-N
2.13_790.56	PC 32:1 Isomer B	6443090	1-Palmitoyl-2-palmitoleoylphosphatidylcholine	QIBZFHLFHCIUOT-ZPHPHTNESA-N
1.83_730.54	PC 32:2 Isomer A	24778764	1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine	GPWHCUUIQMGELX-VHQDNGOZSA-N
1.93_788.54	PC 32:2 Isomer B	24778764	1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine	GPWHCUUIQMGELX-VHQDNGOZSA-N
2.18_688.49	PE 16:0_16::1 	71627297	[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(Z)-hexadec-9-enoyl]oxypropyl] hexadecanoate	CZOSTDZGCCEZTJ-PEZBUJJGSA-N
2.20_714.51	PE 16:1_18:1 	134735007	Phosphatidylethanolamine 16:1-18:1	HGDJXBPLHZFXGO-LBXGSASVSA-N
