identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
0.30_317.21	15-OxoETE 	1443	15-Oxoicosa-5,8,11,13-tetraenoic acid	YGJTUEISKATQSM-UHFFFAOYSA-N
0.30_343.23	4-HDoHE 	53394255	4-Hydroxydocosa-5,7,10,13,16,19-hexaenoic acid	IFRKCNPQVIJFAQ-UHFFFAOYSA-N
0.31_319.23	5-HETE 	1771	5-Hete	KGIJOOYOSFUGPC-UHFFFAOYSA-N
0.27_335.22	8,15-DiHETE 	5283183	8S,15S-dihydroxy-5Z,9E,11Z,13E-eicosatetraenoic acid	NNPWRKSGORGTIM-HCCKYKKOSA-N
0.88_267.23	FA 17:1	3014063	9-heptadecenoic acid	QSBYPNXLFMSGKH-UHFFFAOYSA-N
0.60_277.22	FA 18:3 (linolenic acid) 	5280934	LINOLENIC ACID	DTOSIQBPPRVQHS-PDBXOOCHSA-N
1.23_295.26	FA 19:1 	14275215	9-Nonadecenoic acid	YOKHLRHWEXTWJR-ZHACJKMWSA-N
1.36_309.28	FA 20:1	142770	(EZ)-Icosenoic acid	BITHHVVYSMSWAG-UHFFFAOYSA-N
1.16_307.26	FA 20:2 (eicosadienoic acid) 	6439848	Eicosadienoic acid	XSXIVVZCUAHUJO-HZJYTTRNSA-N
0.94_305.25	FA 20:3 (eicosatrienoic acid) 	5312529	11,14,17-Eicosatrienoic acid	AHANXAKGNAKFSK-PDBXOOCHSA-N
0.74_303.23	FA 20:4 (arachidonic acid) 	444899	Arachidonate	YZXBAPSDXZZRGB-DOFZRALJSA-N
0.56_301.22	FA 20:5 (eicosapentaenoic acid) 	446284	Icosapent (INN)	JAZBEHYOTPTENJ-JLNKQSITSA-N
1.41_335.30	FA 22:2 (docosadienoic acid) 	5282807	13,16-Docosadienoic acid	HVGRZDASOHMCSK-AVQMFFATSA-N
1.03_331.26	FA 22:4 	5497181	(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid	TWSWSIQAPQLDBP-DOFZRALJSA-N
0.65_327.23	FA 22:6 (docosahexaenoic acid) 	445580	HXA	MBMBGCFOFBJSGT-KUBAVDMBSA-N
0.64_554.35	LPC 16:0 	460602	1-16:0-2-lysophosphatidylcholine	ASWBNKHCZGQVJV-HSZRJFAPSA-N
0.66_452.28	LPE 16:0 	53480922	LysoPE(0:0/16:0)	CKPBBEOJHAPPBT-HXUWFJFHSA-N
