"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"myo-inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"N-methylethanolamine","NA","NA","NA","NA","NA","0"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"glycerol-alpha-phosphate","NA","NA","NA","NA","NA","0"
"hydroxylamine","Hydroxylamine","HMDB0003338","787","C00192","NO","1"
"isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"UDP-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"isoxanthopterin","Isoxanthopterin","HMDB0000704","10729","C03975","NC1=NC(=O)C2=C(N1)NC(=O)C=N2","1"
"leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"4-hydroxymandelic acid","NA","NA","NA","NA","NA","0"
"arabitol","D-Arabitol","HMDB0000568","94154","C01904","OC[C@@H](O)C(O)[C@H](O)CO","1"
"stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(O)=O","1"
"adenosine-5-monophosphate","NA","NA","NA","NA","NA","0"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","NCCOP(O)(O)=O","1"
