date,treatment-tank,carapace-length,Average per tank,standardized values,Average SD value per tank
7/8/2022,1,37,36.42857143,0.059763708,-0.119527416
7/8/2022,1,38,,0.373523176,
7/8/2022,1,38,,0.373523176,
7/8/2022,1,32,,-1.509033629,
7/8/2022,1,36,,-0.253995759,
7/8/2022,1,40,,1.001042111,
7/8/2022,1,34,,-0.881514694,
7/8/2022,2,41,39,1.314801578,0.687282643
7/8/2022,2,41,,1.314801578,
7/8/2022,2,40,,1.001042111,
7/8/2022,2,41,,1.314801578,
7/8/2022,2,36,,-0.253995759,
7/8/2022,2,39,,0.687282643,
7/8/2022,2,35,,-0.567755227,
7/8/2022,3,35,37.42857143,-0.567755227,0.194232051
7/8/2022,3,39,,0.687282643,
7/8/2022,3,41,,1.314801578,
7/8/2022,3,31,,-1.822793097,
7/8/2022,3,39,,0.687282643,
7/8/2022,3,41,,1.314801578,
7/8/2022,3,36,,-0.253995759,
7/8/2022,4,39,36.71428571,0.687282643,-0.029881854
7/8/2022,4,39,,0.687282643,
7/8/2022,4,34,,-0.881514694,
7/8/2022,4,38,,0.373523176,
7/8/2022,4,34,,-0.881514694,
7/8/2022,4,36,,-0.253995759,
7/8/2022,4,37,,0.059763708,
7/8/2022,5,39,36.85714286,0.687282643,0.014940927
7/8/2022,5,37,,0.059763708,
7/8/2022,5,32,,-1.509033629,
7/8/2022,5,44,,2.25607998,
7/8/2022,5,32,,-1.509033629,
7/8/2022,5,40,,1.001042111,
7/8/2022,5,34,,-0.881514694,
7/8/2022,6,34,34.42857143,-0.881514694,-0.747046351
7/8/2022,6,38,,0.373523176,
7/8/2022,6,36,,-0.253995759,
7/8/2022,6,35,,-0.567755227,
7/8/2022,6,34,,-0.881514694,
7/8/2022,6,31,,-1.822793097,
7/8/2022,6,33,,-1.195274162,
7/12/2022,1,36,35,-0.158947626,-0.415709175
7/12/2022,1,38,,0.354575473,
7/12/2022,1,32,,-1.185993822,
7/12/2022,1,32,,-1.185993822,
7/12/2022,1,32,,-1.185993822,
7/12/2022,1,35,,-0.415709175,
7/12/2022,1,40,,0.868098571,
7/12/2022,2,39,37.85714286,0.611337022,0.317895251
7/12/2022,2,35,,-0.415709175,
7/12/2022,2,41,,1.12486012,
7/12/2022,2,38,,0.354575473,
7/12/2022,2,35,,-0.415709175,
7/12/2022,2,35,,-0.415709175,
7/12/2022,2,42,,1.381621669,
7/12/2022,3,42,38.42857143,1.381621669,0.464616137
7/12/2022,3,39,,0.611337022,
7/12/2022,3,41,,1.12486012,
7/12/2022,3,41,,1.12486012,
7/12/2022,3,36,,-0.158947626,
7/12/2022,3,38,,0.354575473,
7/12/2022,3,32,,-1.185993822,
7/12/2022,4,32,34.57142857,-1.185993822,-0.525749839
7/12/2022,4,34,,-0.672470724,
7/12/2022,4,35,,-0.415709175,
7/12/2022,4,38,,0.354575473,
7/12/2022,4,40,,0.868098571,
7/12/2022,4,31,,-1.442755371,
7/12/2022,4,32,,-1.185993822,
7/12/2022,5,31,38.71428571,-1.442755371,0.537976579
7/12/2022,5,36,,-0.158947626,
7/12/2022,5,42,,1.381621669,
7/12/2022,5,47,,2.665429415,
7/12/2022,5,37,,0.097813923,
7/12/2022,5,44,,1.895144767,
7/12/2022,5,34,,-0.672470724,
7/12/2022,6,35,35.14285714,-0.415709175,-0.379028954
7/12/2022,6,36,,-0.158947626,
7/12/2022,6,39,,0.611337022,
7/12/2022,6,31,,-1.442755371,
7/12/2022,6,33,,-0.929232273,
7/12/2022,6,36,,-0.158947626,
7/12/2022,6,36,,-0.158947626,
7/15/2022,1,32,34.42857143,-0.760565171,-0.290112488
7/15/2022,1,40,,0.789161315,
7/15/2022,1,33,,-0.566849361,
7/15/2022,1,29,,-1.341712604,
7/15/2022,1,38,,0.401729693,
7/15/2022,1,35,,-0.179417739,
7/15/2022,1,34,,-0.37313355,
7/15/2022,2,41,38.14285714,0.982877126,0.429403381
7/15/2022,2,44,,1.564024558,
7/15/2022,2,35,,-0.179417739,
7/15/2022,2,39,,0.595445504,
7/15/2022,2,35,,-0.179417739,
7/15/2022,2,39,,0.595445504,
7/15/2022,2,34,,-0.37313355,
7/15/2022,3,38,33.41428571,0.401729693,-0.486595668
7/15/2022,3,42,,1.176592936,
7/15/2022,3,40,,0.789161315,
7/15/2022,3,35,,-0.179417739,
7/15/2022,3,31,,-0.954280982,
7/15/2022,3,31,,-0.954280982,
7/15/2022,3,16.9,,-3.685673914,
7/15/2022,4,31,34.85714286,-0.954280982,-0.207091426
7/15/2022,4,37,,0.208013883,
7/15/2022,4,34,,-0.37313355,
7/15/2022,4,34,,-0.37313355,
7/15/2022,4,31,,-0.954280982,
7/15/2022,4,38,,0.401729693,
7/15/2022,4,39,,0.595445504,
7/15/2022,5,41,39,0.982877126,0.595445504
7/15/2022,5,43,,1.370308747,
7/15/2022,5,50,,2.726319423,
7/15/2022,5,32,,-0.760565171,
7/15/2022,5,34,,-0.37313355,
7/15/2022,5,35,,-0.179417739,
7/15/2022,5,38,,0.401729693,
7/15/2022,6,37,35.71428571,0.208013883,-0.041049303
7/15/2022,6,36,,0.014298072,
7/15/2022,6,40,,0.789161315,
7/15/2022,6,36,,0.014298072,
7/15/2022,6,36,,0.014298072,
7/15/2022,6,33,,-0.566849361,
7/15/2022,6,32,,-0.760565171,
7/19/2022,1,35,37.14285714,-0.476015154,0.087687002
7/19/2022,1,38,,0.313167865,
7/19/2022,1,34,,-0.739076161,
7/19/2022,1,39,,0.576228871,
7/19/2022,1,37,,0.050106858,
7/19/2022,1,37,,0.050106858,
7/19/2022,1,40,,0.839289878,
7/19/2022,2,39,37.57142857,0.576228871,0.200427433
7/19/2022,2,40,,0.839289878,
7/19/2022,2,36,,-0.212954148,
7/19/2022,2,35,,-0.476015154,
7/19/2022,2,36,,-0.212954148,
7/19/2022,2,43,,1.628472897,
7/19/2022,2,34,,-0.739076161,
7/19/2022,3,42,37.85714286,1.36541189,0.275587721
7/19/2022,3,44,,1.891533903,
7/19/2022,3,36,,-0.212954148,
7/19/2022,3,32,,-1.265198173,
7/19/2022,3,32,,-1.265198173,
7/19/2022,3,40,,0.839289878,
7/19/2022,3,39,,0.576228871,
7/19/2022,4,38,34.71428571,0.313167865,-0.551175442
7/19/2022,4,39,,0.576228871,
7/19/2022,4,37,,0.050106858,
7/19/2022,4,33,,-1.002137167,
7/19/2022,4,32,,-1.265198173,
7/19/2022,4,33,,-1.002137167,
7/19/2022,4,31,,-1.52825918,
7/19/2022,5,42,37.57142857,1.36541189,0.200427433
7/19/2022,5,37,,0.050106858,
7/19/2022,5,48,,2.943777928,
7/19/2022,5,36,,-0.212954148,
7/19/2022,5,31,,-1.52825918,
7/19/2022,5,31,,-1.52825918,
7/19/2022,5,38,,0.313167865,
7/19/2022,6,36,36,-0.212954148,-0.212954148
7/19/2022,6,40,,0.839289878,
7/19/2022,6,32,,-1.265198173,
7/19/2022,6,38,,0.313167865,
7/19/2022,6,36,,-0.212954148,
7/19/2022,6,34,,-0.739076161,
7/19/2022,6,36,,-0.212954148,
7/22/2022,1,31,35.14285714,-1.14796448,-0.182667615
7/22/2022,1,39,,0.716057052,
7/22/2022,1,40,,0.949059743,
7/22/2022,1,31,,-1.14796448,
7/22/2022,1,37,,0.250051669,
7/22/2022,1,34,,-0.448956406,
7/22/2022,1,34,,-0.448956406,
7/22/2022,2,36,37.57142857,0.017048977,0.383196064
7/22/2022,2,31,,-1.14796448,
7/22/2022,2,40,,0.949059743,
7/22/2022,2,42,,1.415065126,
7/22/2022,2,41,,1.182062435,
7/22/2022,2,35,,-0.215953714,
7/22/2022,2,38,,0.48305436,
7/22/2022,3,42,36.33333333,1.415065126,-0.016237121
7/22/2022,3,40,,0.949059743,
7/22/2022,3,39,,0.716057052,
7/22/2022,3,31,,-1.14796448,
7/22/2022,3,31,,-1.14796448,
7/22/2022,3,35,,-0.215953714,
7/22/2022,4,33,35,-0.681959097,-0.215953714
7/22/2022,4,33,,-0.681959097,
7/22/2022,4,34,,-0.448956406,
7/22/2022,4,40,,0.949059743,
7/22/2022,4,37,,0.250051669,
7/22/2022,4,38,,0.48305436,
7/22/2022,4,30,,-1.380967171,
7/22/2022,5,33,37.85714286,-0.681959097,0.449768262
7/22/2022,5,47,,2.580078584,
7/22/2022,5,43,,1.648067818,
7/22/2022,5,42,,1.415065126,
7/22/2022,5,37,,0.250051669,
7/22/2022,5,30,,-1.380967171,
7/22/2022,5,33,,-0.681959097,
7/22/2022,6,32,33.71428571,-0.914961789,-0.515528603
7/22/2022,6,32,,-0.914961789,
7/22/2022,6,40,,0.949059743,
7/22/2022,6,32,,-0.914961789,
7/22/2022,6,35,,-0.215953714,
7/22/2022,6,31,,-1.14796448,
7/22/2022,6,34,,-0.448956406,
7/26/2022,1,35,34.81818182,-0.072076045,-0.116632146
7/26/2022,1,39,,0.908158172,
7/26/2022,1,37,,0.418041063,
7/26/2022,1,31,,-1.052310263,
7/26/2022,1,36,,0.172982509,
7/26/2022,1,40,,1.153216726,
7/26/2022,1,37,,0.418041063,
7/26/2022,1,34,,-0.3171346,
7/26/2022,1,30,,-1.297368817,
7/26/2022,1,33,,-0.562193154,
7/26/2022,1,31,,-1.052310263,
7/26/2022,2,40,36.7,1.153216726,0.344523497
7/26/2022,2,37,,0.418041063,
7/26/2022,2,42,,1.643333835,
7/26/2022,2,36,,0.172982509,
7/26/2022,2,35,,-0.072076045,
7/26/2022,2,35,,-0.072076045,
7/26/2022,2,36,,0.172982509,
7/26/2022,2,35,,-0.072076045,
7/26/2022,2,40,,1.153216726,
7/26/2022,2,31,,-1.052310263,
7/26/2022,3,43,34.8,1.88839239,-0.121087756
7/26/2022,3,37,,0.418041063,
7/26/2022,3,31,,-1.052310263,
7/26/2022,3,33,,-0.562193154,
7/26/2022,3,30,,-1.297368817,
7/26/2022,4,33,33.6,-0.562193154,-0.415158022
7/26/2022,4,30,,-1.297368817,
7/26/2022,4,30,,-1.297368817,
7/26/2022,4,38,,0.663099618,
7/26/2022,4,36,,0.172982509,
