"","total","expected","hits","Raw p","Holm p","FDR"
"Carboxylic acids and derivatives",3740,0.648,12,9.61e-13,4.57e-10,4.57e-10
"Organooxygen compounds",3160,0.546,8,5.77e-08,2.74e-05,1.37e-05
"Imidazopyrimidines",198,0.0343,3,5.93e-06,0.00281,0.000941
"Sulfinic acids and derivatives",4,0.000693,1,0.000692,0.328,0.0824
"Carboximidic acids and derivatives",38,0.00658,1,0.00656,1,0.575
"Pyrroles",42,0.00727,1,0.00725,1,0.575
"Organic phosphonic acids and derivatives",53,0.00918,1,0.00914,1,0.621
"Organic carbonic acids and derivatives",63,0.0109,1,0.0109,1,0.646
"Pyrimidine nucleotides",77,0.0133,1,0.0132,1,0.701
"Organic phosphoric acids and derivatives",93,0.0161,1,0.016,1,0.728
"Pteridines and derivatives",100,0.0173,1,0.0172,1,0.728
"Keto acids and derivatives",114,0.0197,1,0.0196,1,0.728
"Hydroxy acids and derivatives",116,0.0201,1,0.0199,1,0.728
"Diazines",342,0.0592,1,0.0575,1,1
"Organonitrogen compounds",618,0.107,1,0.102,1,1
"Fatty Acyls",4680,0.811,1,0.56,1,1
