"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"adipic acid","Adipic acid","HMDB0000448","196","C06104","OC(=O)CCCCC(O)=O","1"
"arachidic acid","Arachidic acid","HMDB0002212","10467","C06425","CCCCCCCCCCCCCCCCCCCC(O)=O","1"
"cadaverine","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"glucose-1-phosphate","Glucose 1-phosphate","HMDB0001586","65533","C00103","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(O)=O","1"
"hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","NCCS(O)=O","1"
"isogluconic acid","NA","NA","NA","NA","NA","0"
"levoglucosan","Levoglucosan","HMDB0000640","2724705",NA,"[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"phosphoinositol","NA","NA","NA","NA","NA","0"
"pyrophosphate","Pyrophosphate","HMDB0000250","1023","C00013","OP(O)(=O)OP(O)(O)=O","1"
"spermidine","Spermidine","HMDB0001257","1102","C00315","NCCCCNCCCN","1"
"stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(O)=O","1"
"trans-4-hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"triethanolamine","Triethanolamine","HMDB0032538","7618","C06771","OCCN(CCO)CCO","1"
