PC,metabolite,statistic,p.adj,comparison,respirationMetabolites,calciumSignalingMetabolites,coldProtectionMetabolites,valineBiosynthesis,arginineBiosynthesis,glutathioneMetabolism,alanineMetabolism
5,xylitol,1.41004104339638,0.190377987913268,13v30_day22,N,N,N,N,N,N,N
5,xylitol,4.36524924142914,0.000771709810419877,13v5_day22,N,N,N,N,N,N,N
5,xylitol,-3.55185048171882,0.0113248221203574,30v5_day22,N,N,N,N,N,N,N
5,noradrenaline,-1.22831741643133,0.264152101798507,13v30_day22,N,N,N,N,N,N,N
5,lactic acid,1.8585905782269,0.0845038315025161,13v5_day22,Y,N,N,N,N,N,N
5,lactic acid,-0.415233052445892,0.749446710158316,5_day3v22,Y,N,N,N,N,N,N
5,lactitol,1.61025594030581,0.174814932874934,30v5_day3,N,N,N,N,N,N,N
5,dopamine,-1.35397294101059,0.238628664398003,30v5_day3,N,N,N,N,N,N,N
5,dopamine,0.467586499436386,0.658511741711025,13v5_day22,N,N,N,N,N,N,N
5,stearic acid,-1.57560260906316,0.181147260501621,30v5_day3,N,N,N,N,N,N,N
5,stearic acid,-2.54925382950996,0.0377035290389132,30v5_day22,N,N,N,N,N,N,N
5,glycine,1.64028098456151,0.174065147664232,30v5_day3,N,N,N,N,N,Y,N
5,glycine,3.38580027606154,0.0169190876001111,13v30_day22,N,N,N,N,N,Y,N
5,glycine,3.72692935301711,0.0113248221203574,30v5_day22,N,N,N,N,N,Y,N
5,glycine,-1.7036376977354,0.22682778898892,5_day3v22,N,N,N,N,N,Y,N
5,histamine,NA,NA,NA,N,N,N,N,N,N,N
5,heptadecanoic acid,-1.46422120695485,0.206114054422662,30v5_day3,N,N,N,N,N,N,N
5,heptadecanoic acid,-2.70748821693036,0.0295548648965507,30v5_day22,N,N,N,N,N,N,N
5,arachidic acid,-3.44527274632649,0.011889746241599,30v5_day22,N,N,N,N,N,N,N
5,myo-inositol,-2.72858961991804,0.0917119912977075,30v5_day3,N,N,N,N,N,N,N
5,myo-inositol,-6.13245492261758,0.0012490431820023,13v30_day22,N,N,N,N,N,N,N
5,myo-inositol,-6.93400524645188,0.00105037192910973,30v5_day22,N,N,N,N,N,N,N
5,uridine,-1.67511363171101,0.165995196385291,30v5_day3,N,N,N,N,N,N,N
5,uridine,2.46866623037814,0.0276341449664906,13v5_day22,N,N,N,N,N,N,N
5,pyrophosphate,-1.76664452089732,0.123368637353958,13v30_day22,N,N,N,N,N,N,N
5,pyrophosphate,-2.81051121063242,0.0283247329787348,30v5_day22,N,N,N,N,N,N,N
5,alpha-aminoadipic acid,-1.31763807466211,0.236097051673,13v30_day22,N,N,N,N,N,N,N
5,alpha-aminoadipic acid,-1.63527546924859,0.153231134371103,30v5_day22,N,N,N,N,N,N,N
5,homocysteine,1.79808219348416,0.154846879242593,30v5_day3,N,N,N,N,N,N,N
5,homocysteine,2.11730590875608,0.0537259513209401,13v5_day22,N,N,N,N,N,N,N
5,homocysteine,-1.74568830916066,0.22682778898892,5_day3v22,N,N,N,N,N,N,N
5,sulfuric acid,2.04266356673042,0.0837119656467654,13v30_day22,N,N,N,N,N,N,N
5,sulfuric acid,0.238104220015223,0.852745763143502,5_day3v22,N,N,N,N,N,N,N
5,para-xanthine,NA,NA,NA,N,N,N,N,N,N,N
5,taurine,0.595319813776649,0.665954021992045,5_day3v22,N,N,N,N,N,N,N
5,4-hydroxybenzoate,-3.03912533292338,0.0229238137529949,13v30_day22,N,N,N,N,N,N,N
5,4-hydroxybenzoate,-4.066352468886,0.00863465659347156,30v5_day22,N,N,N,N,N,N,N
5,4-hydroxybenzoate,-2.34008990625109,0.145853529825417,5_day3v22,N,N,N,N,N,N,N
5,hypotaurine,-2.8040535582793,0.0264784417859442,30v5_day22,N,N,N,N,N,N,N
5,hypotaurine,-1.33646037732216,0.327430154227115,5_day3v22,N,N,N,N,N,N,N
