PC,metabolite,statistic,p.adj,comparison,respirationMetabolites,calciumSignalingMetabolites,coldProtectionMetabolites,valineBiosynthesis,arginineBiosynthesis,glutathioneMetabolism,alanineMetabolism
1,oxoproline,2.23368820076819,0.0803128189011799,13v30_day22,N,N,N,N,N,Y,N
1,oxoproline,1.95911987273862,0.0985163711377999,30v5_day22,N,N,N,N,N,Y,N
1,leucine,4.34081084931413,0.0450688256472698,30v5_day3,N,N,N,Y,N,N,N
1,leucine,3.9123406325859,0.00672404040385438,13v30_day22,N,N,N,Y,N,N,N
1,leucine,3.19500695376609,0.0137544701276571,30v5_day22,N,N,N,Y,N,N,N
1,glycine,1.64028098456151,0.174065147664232,30v5_day3,N,N,N,N,N,Y,N
1,glycine,3.38580027606154,0.0169190876001111,13v30_day22,N,N,N,N,N,Y,N
1,glycine,3.72692935301711,0.0113248221203574,30v5_day22,N,N,N,N,N,Y,N
1,glycine,-1.7036376977354,0.22682778898892,5_day3v22,N,N,N,N,N,Y,N
1,isoleucine,3.91400652383543,0.0450688256472698,30v5_day3,N,N,N,N,N,N,N
1,isoleucine,3.49563953136309,0.0115165687418758,13v30_day22,N,N,N,N,N,N,N
1,isoleucine,3.09612986956906,0.0138455212436746,30v5_day22,N,N,N,N,N,N,N
1,methionine,5.69848947108204,0.0450688256472698,30v5_day3,N,N,N,N,N,N,N
1,methionine,3.88956796360263,0.00640800571579145,13v30_day22,N,N,N,N,N,N,N
1,methionine,3.21149351168878,0.0128483463266885,30v5_day22,N,N,N,N,N,N,N
1,tryptophan,2.37644806927733,0.0951894259735713,30v5_day3,N,N,N,N,N,N,N
1,tryptophan,2.67606896209486,0.0314668516712722,13v30_day22,N,N,N,N,N,N,N
1,tryptophan,3.24589669610345,0.0138455212436746,30v5_day22,N,N,N,N,N,N,N
1,proline,1.98138831202757,0.13740702571337,30v5_day3,N,N,Y,N,N,N,N
1,proline,3.51158021959053,0.0169190876001111,13v30_day22,N,N,Y,N,N,N,N
1,proline,4.00685236275615,0.00166549291713173,13v5_day22,N,N,Y,N,N,N,N
1,proline,-1.7080042457362,0.22682778898892,5_day3v22,N,N,Y,N,N,N,N
1,threonine,3.23141269993503,0.0589427902334953,30v5_day3,N,Y,N,Y,N,N,N
1,threonine,4.11676348906737,0.00672404040385438,13v30_day22,N,Y,N,Y,N,N,N
1,threonine,3.32802721431409,0.00575093226315157,13v5_day22,N,Y,N,Y,N,N,N
1,threonine,-2.32492280743287,0.166535384842735,5_day3v22,N,Y,N,Y,N,N,N
1,phenylalanine,3.8159879970043,0.047519417406399,30v5_day3,N,N,N,N,N,N,N
1,phenylalanine,1.81813984752035,0.108032938288357,13v30_day22,N,N,N,N,N,N,N
1,phenylalanine,-1.26942762537529,0.234635465261195,13v5_day22,N,N,N,N,N,N,N
1,phenylalanine,2.91046803735627,0.0165041680096019,30v5_day22,N,N,N,N,N,N,N
1,3-Aminopiperidine-2,6-dione,3.6079024901718,0.047519417406399,30v5_day3,N,N,N,N,N,N,N
1,3-Aminopiperidine-2,6-dione,-4.19908493156545,0.0323647200022262,5_day3v22,N,N,N,N,N,N,N
1,putrescine,-3.77704115461811,0.012534973204622,13v30_day22,N,N,N,N,N,Y,N
1,putrescine,-3.83531002130395,0.0113351994922639,30v5_day22,N,N,N,N,N,Y,N
1,putrescine,-3.50605839138441,0.0323647200022262,5_day3v22,N,N,N,N,N,Y,N
1,glutaric acid,-2.73241335091082,0.0314668516712722,13v30_day22,N,N,N,N,N,N,N
1,glutaric acid,-3.53683545766627,0.0113351994922639,30v5_day22,N,N,N,N,N,N,N
1,N-acetylgalactosamine,-5.16055070433455,0.000718362859367115,13v30_day22,N,N,N,N,N,N,N
1,N-acetylgalactosamine,2.81986483530387,0.0166198679035991,13v5_day22,N,N,N,N,N,N,N
1,N-acetylgalactosamine,-8.09073925220471,8.28237740267888e-07,30v5_day22,N,N,N,N,N,N,N
1,N-acetylgalactosamine,-1.89928218728817,0.224991241306735,5_day3v22,N,N,N,N,N,N,N
1,myo-inositol,-2.72858961991804,0.0917119912977075,30v5_day3,N,N,N,N,N,N,N
1,myo-inositol,-6.13245492261758,0.0012490431820023,13v30_day22,N,N,N,N,N,N,N
1,myo-inositol,-6.93400524645188,0.00105037192910973,30v5_day22,N,N,N,N,N,N,N
1,cadaverine,-1.99623490889754,0.141312696704062,30v5_day3,N,N,N,N,N,Y,N
1,cadaverine,-4.32228187826936,0.00395795277960927,30v5_day22,N,N,N,N,N,Y,N
1,cadaverine,1.88383004699364,0.217231614391484,5_day3v22,N,N,N,N,N,Y,N
1,hydroquinone,-3.23664467471502,0.0226053714919711,13v30_day22,N,N,N,N,N,N,N
1,hydroquinone,-4.04074614898081,0.0113248221203574,30v5_day22,N,N,N,N,N,N,N
1,terephthalic acid,-3.1353213807131,0.0169190876001111,13v30_day22,N,N,N,N,N,N,N
1,terephthalic acid,-4.84758813162855,0.00155855357879841,30v5_day22,N,N,N,N,N,N,N
1,ribose-5-phosphate,-2.94922500504517,0.0300960778892042,13v30_day22,N,N,N,N,N,N,N
1,ribose-5-phosphate,-3.68798442903431,0.0113351994922639,30v5_day22,N,N,N,N,N,N,N
1,ribose-5-phosphate,-1.71060272667301,0.227783235460451,5_day3v22,N,N,N,N,N,N,N
1,arachidic acid,-3.44527274632649,0.011889746241599,30v5_day22,N,N,N,N,N,N,N
1,phthalic acid,-1.27976928974706,0.251070176254075,30v5_day3,N,N,N,N,N,N,N
1,phthalic acid,-2.74144325949303,0.0314668516712722,13v30_day22,N,N,N,N,N,N,N
1,phthalic acid,-3.56165476446314,0.0113248221203574,30v5_day22,N,N,N,N,N,N,N
